Head,Message,Type
,New York governor extends shutdown to April 29,Genuine
,Coronavirus crisis has made us more compassionate: Virat Kohli,Genuine
," The Disaster Management Act 2005 is going to be implemented in India, according to which no citizen is allowed to post any update or share any forward related to COVID-19.",Fake
How does COVID-19 spread,"People can catch COVID-19 from others who have the virus. The disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID-19 coughs or exhales. These droplets land on objects and surfaces around the person. Other people then catch COVID-19 by touching these objects or surfaces, then touching their eyes, nose or mouth. People can also catch COVID-19 if they breathe in droplets from a person with COVID-19 who coughs out or exhales droplets. This is why it is important to stay more than 1 meter (3 feet) away from a person who is sick.",Genuine
,Labour shortage may break supply chain in Coronavirus lockdown extension,Genuine
Kanika Kapoor,Photo of Kanika Kapoor meeting Prince Charles during her recent visit to United Kingdom. Prince Charles was tested positive for coronavirus just after the meet.,Fake
,Not a single Muslim died of Coronavirus in China.,Fake
,Netflix and Amazon are offering free subscription amid the coronavirus outbreak.,Fake
,"CISF to provide enhanced protective gear to troops when airports, Delhi Metro resume ops: Report",Genuine
,"Total traffic handled at Major Ports from April to March 2020 shows 0.82% growth in tonnage. Over 46,000 crew/passenger thermal- scanned at ports. Penalties, demurrage, charges, fee, rentals levied by the Major ports waived off on any port user. Hospitals across the Major Port Trusts are prepared for Covid-19.",Genuine
,Tea vendor near Maharashtra CM's private residence tests positive to coronavirus: BMC,Genuine
,Union Health Ministry adopts Twitter Seva to help Indians with queries related to COVID-19,Genuine
, Pope Francis ran away at a public meeting due to coronavirus fear.,Fake
,"In Maharashtraâ€™s Covid-19 containment plan, Mumbai, Nagpur and Pune are key",Genuine
, WHO advisory asks people not to consume bakery items as they get contaminated by coronavirus easily.,Fake
,"Millions join PM Modiâ€™s â€˜9pm-9minâ€™ call, light lamps to show solidarity in fight against Covid-19",Genuine
,"As Kashmir struggles with Covid-19, Pak preps to send across more terrorists",Genuine
,Odisha records first coronavirus death after 72-year-old Jharpada man tests positive,Genuine
,"Centre asks states to ensure smooth harvesting, sowing activities",Genuine
,Bill Gates wrote a letter where he says coronavirus has a â€œspiritual purposeâ€ and is â€œa great correctorâ€.,Fake
," A photo of a man and woman embracing has been shared hundreds of times on Facebook and Twitter alongside a claim that it shows two Italian doctors who died of a novel coronavirus, COVID-19, after contracting the disease from the patients they treated.",Fake
, Drinking warm water with lemon protects agains the novel coronavirus.,Fake
,"Amid coronavirus crisis, a look at countries untouched by the deadly contagion",Genuine
, Image of herd of deer sitting on a street interpreted as different locations in Sri Lanka and India.,Fake
, Lions released on Russian streets by Vladimir Putin to force people inside.,Fake
,"COVID-19 is spread through human-to-human transmission. 
",Genuine
," First volunteer for COVID-19 Vaccine in UK, Dr. Elisa Granato, is dead.",Fake
India Army called,The Indian Army has been called to control seven areas in Mumbai that are nor following the 21 day lockdown and are out of the Mumbai policeâ€™s control.,Fake
,Coronavirus update: Donald Trump sends wishes to â€˜very good friendâ€™ Boris Johnson as his Covid-19 symptoms â€˜worsenâ€™,Genuine
,"In new interview to Fox, President Trump suggests India could have early access to #Covid19 vaccines being developed in US since PM Modi accepted request on HCQ. This is why fighting #CoronaVirus together is important. You never know when you can go from helping to needing help.",Fake
,"Research says alcohol prevents coronavirus since it is found in large amounts in sanitizer, so drinking alhocol is the sureshot remedy for covid19 ",Fake
,Image of coronavirus victims in China.,Fake
,washing hands can help prevent coronavirus,Genuine
,Bats responsible for the outbreak of coronavirus originated from the rooftop of a house in Wuhan.,Fake
,Google has donated 59 billion (5900 crores) rupees to fight coronavirus to India.,Fake
,An image of Indian Home Minister Amit Shah visiting COVID-19 patients.,Fake
," Self-medicate COVID-19 using a home remedy with aspirin, lemon and honey.",Fake
,"See this video and forward this as much as possible. If you stay silent today then it will harm us. Because, in six months, it would be of no use to move forward. Turn your fingers and share this forward now",Fake
,"Four Hizbul  terrorists killed, soldier injured in Kulgam encounter",Genuine
,Priyanka pledges Cong workers support to religious organisations in COVID-19 relief efforts,Genuine
,"Coronavirus outbreak: Arvind Kejriwal responds to Gautam Gambhir’s ‘big egos’ barb, explains the problem",Genuine
,Indian cricketer Sachin Tendulkar asked for meat shops to be banned in lieu of COVID-19.,Fake
"Amidst the COVID-19 lockdown, FCI moves 662 rakes carrying about 18.54 Lakh MT food grains across the country in 14 days since 24th March",FCI has sent enough stocks to states throughout the country to implement PM Garib Kalyan Ann Yojana (PMGKAY) wherein 5 kg foodgrain per person per month for next three months has to be distributed free to all National Food Security Act (NFSA) beneficiaries.Â ,Genuine
,Video shows reciting Namaaz and Quran can only be the treatment of pandemic COVID-19.,Fake
, Posting anything on coronavirus will be a punishable offence because Disaster Management Act has been implemented.,Fake
,How high-level group formed by govt has stepped up Covid-19 fight,Genuine
,J&K govt grants Rs 1 crore relief for lawyers whose livelihoods hit by COVID-19 lockdown,Genuine
,AIIMS (Indian medical institute) team has said that Toddy has medicinal properties to cure coronavirus.,Fake
Sucide,Video of a man who committed suicide in US due to COVID-19,Fake
," Video of bats found under the tiles of many roofs in Hubei, China. They were the source of coronavirus.",Fake
,Rs 56cr for innovations to combat Covid-19 pandemic,Genuine
,Coronavirus found in Broiler Chicken,Fake
,Multiple posts on Facebook and Twitter claim the World Health Organization (WHO) has warned against eating cabbage during the novel coronavirus pandemic.,Fake
," As per Home Ministry of India, sharing information related to the coronavirus is now a punishable offense.",Fake
, Coronavirus has gripped Italy with nobody willing to carry corpses off Italy’s streets.,Fake
,"While some western, traditional or home remedies may provide comfort and alleviate symptoms of COVID-19, there is no evidence that current medicine can prevent or cure the disease. We does not recommend self-medication with any medicines, including antibiotics, as a prevention or cure for COVID-19. However, there are several ongoing clinical trials that include both western and traditional medicines. We will continue to provide updated information as soon as clinical findings are available.",Genuine
,"Covid-19: Govt discusses preparedness, challenges with industry representatives, global bodies",Genuine
,"CRPF airlifts LoC man after son begins 2,100 km cycle ride from Mumbai amid lockdown",Genuine
,Children's helpline receives nearly 3 lakh calls since lockdown,Genuine
,Telangana Ministry in India distributed homeopathic tablets claimed to prevent COVID-19.,Fake
,Chinese converting to Islam after realizing that no Muslim was affected by COVD19 in the country.,Fake
,Coronavirus update: Odisha’s Ganjam district to fine people for not wearing masks,Genuine
Death of doctor in Delhi,"An image of a doctor goes viral with the claim that Dr. Usman Riyaz died while treating coronavirus patients in Delhi, India.",Fake
,Government to spray medicine in the air overnight to kill coronavirus.,Fake
," Timings for sale of milk, newspapers, grocery and medical stores have been issued by the Mumbai Police commissioner.",Fake
," Pakistanâ€™s leading scholar Mufti Naeem suffers from coronavirus. A few days ago, he refused to close madrasas and mosques.",Fake
,Coronavirus will be cured after a 14 hours curfew.,Fake
Tea vendor near CM's residence,Tea vendor near Maharashtra CM's private residence tests positive to coronavirus: BMC,Genuine
," Picture of Sao Paulo graveyard, being prepared secretly for Covid 19 victims by Brazil government.",Fake
,India has decided to extend its financial year to July 1 due to the current COVID-19 outbreak.,Fake
,Fourth case: Another woman from Hindpiri tested coronavirus positive,Genuine
," Image of deers roaming in Pudukkottai, Tamil Nadu.",Fake
," Picture of Sao Paulo graveyard, being prepared secretly for Covid 19 victims by Brazil government.",Fake
,Video of Chinese Prime Minister Li Keqiang visiting a Mosque and offering prayers seeking protection to the country from coronavirus.,Fake
,"Why? Those caring for individuals who are sick with COVID-19 should wear a medical mask for protection. Again, close, frequent and prolonged contact with someone with COVID-19 puts caretakers at high risk. 
National decision makers may also choose to recommend medical mask use for certain individuals using a risk-based approach. This approach takes into consideration the purpose of the mask, risk of exposure and vulnerability of the wearer, the setting, the feasibility of use and the types of masks to be considered.
",Genuine
,Air quality in Gurugram reduces for the first time in 10 days due to firecrackers,Genuine
,Italian Prime Minister Giuseppe Conte broke down amid Covid19 deaths in his country.,Fake
,Video of a person infected with coronavirus comitting suicide in New York.,Fake
, American students thank Indians for hydroxychloroquine by singing the Indian National Anthem.,Fake
,"300 people became Corona Positive due to a monk's chillum in Jaipur, spread panic",Fake
, Unicef recommandations,Fake
,Covid-19 outbreak: How to make your own face mask at home,Genuine
, Recent photo of PM Modi visiting a Church and offering prayers to save the country from the coronavirus outbreak.,Fake
Fuel prices,"Recently, Petrol companies have reduced Rs. 6.40 on petrol and on Diesel Rs. 6.80.",Fake
,Tokyo Olympics logo has been redesigned on the theme of social distancing.,Genuine
,"Stay home if you feel unwell. If you have a fever, cough and difficulty breathing, seek medical attention and call in advance. Follow the directions of your local health authority. Why? National and local authorities will have the most up to date information on the situation in your area. Calling in advance will allow your health care provider to quickly direct you to the right health facility. This will also protect you and help prevent spread of viruses and other infections.",Genuine
, Indiand entral government providing free scholarship and online tuition classes to school children.,Fake
,"UK PM Boris Johnson â€˜doing wellâ€™ in hospital, stays in charge of COVID-19 response",Genuine
,Chennai: Health workers gear up for sanitisation activities to combat Covid-19 | IN PHOTOS,Genuine
, Multiple posts on Facebook and Twitter claim the World Health Organization (WHO) has warned against eating cabbage during the novel coronavirus pandemic.,Fake
,"Message from top cop of #Bangalore which every one should read, I feel. Caution. All of us whether in Cities or Towns, have to be aware of the situation. From May 3rd if the #lockdown is lifted partially fully, we cannot put much pressure on our #police department which had worked hard day in and day out all these days. The police force would be very tired and they also need to spend time with their families.",Fake
,"News updates from Hindustan Times at 5 PM: Uddhav Thackeray talks about communal virus, then issues a warning on Covid-19 messages and all the latest news",Genuine
,Home Ministry of India have issued an order that sharing of any news related to Coronavirus is an punishable offense under the IT Act.,Fake
," 7 children die of coronavirus with 1 week in Karimganj (Assam, India).",Fake
,"In Sonia Gandhi’s 5 tips to fight Covid-19, one is about PM CARES Fund",Genuine
,"Railways issues 'restoration plan' to zones, asks to prepare for resumption of services from April 15",Genuine
, This image is related to the coronavirus outbreak.,Fake
,"Listen to Saddam Hussein was in a 1990 meeting with his cabinet, telling them how America was threatening Iraq with Corona Virus. This prove beyond the shadow of a doubt that Corvid-19 is a US biological weapon.",Fake
,Inhalation of steam from hot water kills COVID19,Fake
,"Army foils infiltration bid in Kupwara, 5 terrorists, one soldier killed",Genuine
,India gears up to switch off lights at 9 pm to â€˜challenge Covid-19 darknessâ€™,Genuine
,No cure for covid19 found yet,Genuine
,"Covid-19 update: New York gets 1,100 ventilators with help from China, Oregon",Genuine
,Woman dies of Covid-19 in Ahmedabad; Gujarat death toll rises to 10,Genuine
," After intense standoff, CM Mamata allows Central teams to conduct inspection in Bengal",Genuine
,800 Yerawada jail inmates approach Bombay HC with release request; threaten to go on strike if not heard,Genuine
,The indian government distributing free face masks.,Fake
Health System Response Monitor,The COVID-19 Health System Response Monitor (HSRM) is a new online platform launched on 2nd April to provide countries and stakeholders in the WHO European Region with evidence of how national health systems are responding to the COVID-19 pandemic.The new website will systematically map and analyse health system responses to the pandemic across the Region.,Genuine
,"Covid-19 update: In Canada, normal life can stay disrupted for â€˜several monthsâ€™, says Justin Trudeau",Genuine
, This photos show Indians bathing in cow dung to prevent infection.,Fake
,Covid-19:?India unable to take full advantage of drop in oil prices,Genuine
, Large crowd gathered in Delhi’s market amid nationwide lockdown in India.,Fake
,Eating garlic and drinking alcohol DOES NOT prevent COVID 19,Genuine
,TV9 Gujarati shares video with claim that Chinese nationals banned in Australian supermarket,Genuine
,"It's everyone's collective duty to help, protect health workers: Priyanka Gandhi",Genuine
,News updates from Hindustan Times: India to form clinical research collaborative on Covid-19 and all the latest news,Genuine
, A video shows Chinese police crackdown on suspected COVID-19 patients.,Fake
,Spraying and introducing bleach or another disinfectant into your body WILL  protect you against COVID-19,Fake
,Appeal people not to visit places of worship during lockdown: Islamic Centre to religious leaders,Genuine
, An audio clip is circulating on Whatsapp claiming that Nagpur (Second Capital of Indian state Maharashtra) has tested 59 positive coronavirus cases including 3 doctors.,Fake
,Only people with symptoms of COVID-19 can spread the disease.,Fake
lockdown strategy,The World Health Organization has prescribed a lockdown strategy to tackle COVID-19 which India is following.,Fake
,News updates from Hindustan Times at 5 PM:8 Malaysians linked to Tablighi Jamaat deboarded from rescue flightâ€‰and all the latest news,Genuine
, An image with human body figurines in a bowl that claims China is serving human baby soup in its restaurants.,Fake
,Scientists have found that drinking bitter gourd juice can cure Coronavirus.,Fake
,P Chidambaram donates Rs 1 crore to govt hospital in Mumbai,Genuine
,Italians bidding goodbye to the world because of coronavirus.,Fake
,"We are sitting here and cracking jokes on coronavirus on Facebook and WhatsApp but if you want to see the actual devastation, see this video from China. Not once, not twice but thrice with great attention. Watch these people who are grappling with this epidemic. The police administration is facing difficulties just to apprehend them. Your heart will wrench when you see this video",Fake
,Science ministry sets up a rapid response centre at IIT Bombay to combat COVID-19,Genuine
," Pakistanâ€™s Dr. Usama Riaz, who contracted coronavirus while treating patients had left a before he died.",Fake
,A remedy is found against coronavirus,Fake
,People of Italy throwing money on the streets as they felt that the money couldnâ€™t save them from COVID-19.,Fake
,"In Pakistanâ€™s Covid-19 response, signs of unpreparedness",Genuine
,Look at the condition of of a Karimnagar person who is affected with coronavirus.,Fake
, Central indian government likely to reduce the age of retirement of government employees to 50.,Fake
,CBIC extends alternate mechanism facility for exporters to claim refund in case of invoice mismatch,Genuine
," Videos stating that 25,000 Chinese are being killed.",Fake
,Actor Vijayâ€™s father criticized government for enforcing curfew to abate COVID-19.,Fake
,"President Trump spent more than an hour Saturday at an interfaith prayer service designed to appeal for national unity as an expected 500,000 people streamed into the nationâ€™s capital to protest his fledgeling presidency.",Genuine
,"8 new Covid-19 cases in Noida, total count in Gautam Buddh Nagar 58",Genuine
, Men in Gujarat are violating lockdown by offering namaaz in a Mosque.,Fake
"1,000-bed hospital in Rajasthan","Indian Army has built a 1,000-bed hospital in Rajasthan in eight days for the treatment of COVID-19.",Fake
,Weed kills coronavirus.,Fake
,"Covid-19 update: India records 4,421 coronavirus cases, death toll touches 114",Genuine
,Times Now: Conversion rate card unearthed in Kerala,Fake
," Dr. Manisha Patil died due to COVID-19 while treating Coronavirus patients in Maharashtra, India.",Fake
,A group of Muslim boys licking utensils to spread coronavirus.,Fake
,"Now, robot is part of Kerala's fight against coronavirus",Genuine
,Indian Ministry of Health and Family Welfare as issued an office memorandum declaring compulsory holiday in four Indian states.,Fake
,Dominic Raab: A combative lawyer who is now Boris Johnsonâ€™s stand-in as UK Premier,Genuine
,4 terrorists killed by security forces in J&K's Kulgam,Genuine
, A photo of hundreds of people praying together has been shared hundreds of times on Facebook and Twitter alongside a claim that it shows Muslims in south India flouting the nation’s COVID-19 lockdown to offer night-time prayers.,Fake
,Worst affected countries by coronavirus are along the same latitude.,Fake
,"All pregnant women, including those with confirmed or suspected COVID-19 infections, have the right to high quality care before, during and after childbirth. This includes antenatal, newborn, postnatal, intrapartum and mental health care.",Genuine
,"SRK, Bengal actors contribute to Mamata Banerjee’s kitty to fight Covid-19 as state goes for austerity",Genuine
, PM Modi announced internet suspension due to viral Fake news related to COVID-19.,Fake
COVID 19 testing ratio,"A new analysis by Indian epidemiologists has revealed that the country has one of the lowest Covid-19 testing ratios compared to other affected countries and that its infection containment measures may not be adequate because of this. India has conducted only 47 tests per million population as of April 5, compared to 2,753 in the UK, 4,572 in the US, 8,800 in South Korea and 22,918 tests per million population in the UAE.",Genuine
," Chinese expert asserts and stresses that breathing water vapor kills the Corona virus 100% if it is present in the lungs, throat or nose, as the virus does not tolerate the temperature of warm water vapor .. Please publish this information on your page and on the widest scale",Fake
,Gautam Budh Nagar asks schools not to ask for fees during lockdown,Genuine
,Family commits suicide in Surat due to hunger during lockdown,Fake
,Image of coronavirus victims in China.,Fake
,Vinayaka Temple located in Kanipakam in Andhra Pradeshâ€™s Chittoor district has been converted into a quarantine centre.,Fake
,Indian zoos put on â€˜highest alertnessâ€™ after Bronx zoo tiger tests positive of COVID-19,Genuine
,China observes ‘national day of mourning’ for Covid-19 victims,Genuine
,Man is spitting on police officer to spread COVID-19 in India.,Fake
," An Image is being shared on social media claiming; this italian doctor couple in the picture worked day and night and saved the lives of 134 patients, but on the eighth day, they caught coronavirus and died after an hour.",Fake
,"Ayush Ministry has also recommended 150 ml hot milk with half teaspoon of turmeric powder once or twice a day, application of sesame oil/coconut oil or ghee in both the nostrils in the morning and evening. ",Genuine
,"Kejriwal hits out at Centre for PPE shortage, says haven’t received a “single rupee” from Rs 17,000 crore fund",Genuine
,"On April 15, it was reported that locals in Biharâ€™s Aurangabad attacked health workers and police personnel during a routine visit for screening residents. Eleven people were injured in the stone-pelting in Ekauni village under the jurisdiction of Goh police station. The police has arrested 44 people for the attack. A video is now viral on social media",Fake
, Muslims misbehaved with Mumbai police as they tried to stop a large gathering during the month of Ramzan.,Fake
,Ram Vilas Paswan thanks FCI workers for timely delivery of grains amid COVID-19 lockdown,Genuine
,Coronavirus: Restrictions in Kashmir Valley tightened,Genuine
,"We wonâ€™t adhere to their order to vacate keep the mosque. We have seen the jail, we have also seen (coherent part, could not be translated). We have seen the military, we have seen the rule. We only fear Allah and not anyone else.",Fake
,The United States of America threatened Iraq with coronavirus in 1990.,Fake
, An image shows a woman in Italy clutching her 18-month-old child tightly to her chest before dying of coronavirus.,Fake
," A video has been viewed thousands of times in multiple posts on Facebook, Twitter and YouTube which claim it shows Chinese police arresting people infected with the novel coronavirus, COVID-19.",Fake
,misleading: A video of a group of men leaving a mosque has been viewed tens of thousands of times in multiple posts on Facebook and Twitter published in April 2020 alongside a claim it shows Muslims who gathered to pray in the Indian state of Gujarat in defiance of a nationwide COVID-19 lockdown.,Fake
,Omar Abdullah showers praise on Uddhav Thackeray,Genuine
,Girl infected with coronavirus found dead in her apartment in Delhi.,Fake
,A WhatsApp forward is doing the rounds which claims that Prime Minister Narendra Modi called for a 14-hour long â€˜Janta Curfewâ€™ on 22 March from 7 am to 9 pm because the lifespan of the coronavirus at one place is only 12 hours and if we all follow the Janta Curfew religiously then the chain will be broken,Fake
,"Coronavirus: Shortage of PPE, masks easing, says govt",Genuine
,Video of Police strictly implementing lockdown in Spain.,Fake
,"Implement steps to curb domestic violence during Covid-19 lockdown: High Court to Centre, Delhi govt",Genuine
,"52 new Covid-19 patients found in Mumbai, count 330; 4 deaths",Genuine
,A 20-second clip shows a burqua clad woman having difficulty breathing.,Fake
,What WHO has to say on the usage of facemasks against Covid-19,Genuine
,Covid-19 cases in Maharashtra inch towards 900 after 23 more test positive,Genuine
,"BJP is true carrier of India's democracy, says Amit Shah",Genuine
,"Amid coronavirus crisis, a look at countries untouched by the deadly contagion",Genuine
,Israel and USA have come up with a vaccine.,Fake
,Govt made 'grave mistake' by not taking states into confidence on lockdown: Veerappa Moily,Genuine
," If you can hold your breath for more than 10 seconds, you are not infected by coronavirus.",Fake
,Drinking bitter gourd juice cures Coronavirus,Fake
, Eating salt on the onion will eliminate the coronavirus.,Fake
,"Covid-19: Draw lessons for the future, writes Mâ€‰Venkaiah Naidu",Genuine
,Temples closed on occasion of Hanuman Jayanti amid lockdown,Genuine
,"Odisha govt makes wearing masks in public mandatory, issues guidelines",Genuine
," Photo posts claiming a person committing suicide by jumping from a building in Italy, Doctor couple in a Italian hospital few hours before their death and chaos in an Italian hospital amid COVID19",Fake
,Indian yogu guru Baba Ramdev has been infected with coronavirus.,Fake
,"Covid-19 lockdown: For a change, Yamuna flows cleaner and full",Genuine
,Full Text: PM Modi's address to the nation,Genuine
, Audio clip of a conversation claiming that Government of India will announce shutdown of the country in the coming days from 15 April to 15 June in the wake of Coronavirus outbreak,Fake
,"No shoot at sight order was issued by Madhya Pradesh Govt., the State goverement have issued a clarification regarding this.",Genuine
,"There is some limited evidence that regularly rinsing nose with saline can help people recover more quickly from the common cold. However, regularly rinsing the nose has not been shown to prevent respiratory infections.",Genuine
,Image of the people who died of Coronavirus in Italy.,Fake
,A video of a policeman unable to walk straight falling on the ground is viral on social media. The cop is seen coughing and sneezing profusely. His fellow policemen come to the rescue and call the doctors to the spot. The clip is being shared with the claim that the policeman is infected with coronavirus and the incident took place at Biharâ€™s Hajipur jail.Â ,Fake
," Man Critical With Novel coronavirus In Barhalganj, India.",Fake
, Indian industrialist tweets that a specific mask can kill viruses.,Fake
, A video that shows the dead bodies being taken away in a convoy of cars is from a hospital in Iran.,Fake
, European Health Organization (EHO) announced that eating beaf can cure coronavirus.,Fake
, Amitabh Bachchan gave 500 million rupees to the Mumbai government to fight the coronavirus.,Fake
," The Ethiopian Airlines flight from Italy this evening to Addis Ababa airport. Most of the passengers are infected with the virus, and there is no strength except in God.",Fake
, Viral message shares the Indian Council of Medical Research (ICMR) latest guidelines on COVID-19.,Fake
,"NHA teams, Uber to work together for transportation of frontline healthcare workers",Genuine
, China has suddenly dismantled its USD Peg on stock exchanges over imminent launch of sovereign digital currency amid COVID-19.,Fake
,You can recover from the coronavirus disease (COVID-19). Catching the new coronavirus DOES NOT mean you will have it for life. Most of the people who catch COVID-19 can recover and eliminate the virus from their bodies.,Genuine
,UNICEF releases coronavirus prevention guidelines.,Fake
, Video of Police strictly implementing lockdown in Spain.,Fake
,"28,000 temporary shelters, 19,500 food camps for migrant workers functional across states: MHA",Genuine
,"Create helpline for elderly to during lockdown, High Court tells Delhi govt",Genuine
," In the 30-sec viral video, a man lifts his shirt and challenges police officer who is pointing gun at him. Another police officer kicks the man from behind, pins down him on the road and makes arrest. The text overlaid on the video reads “Italy says lockdown they mean it”.",Fake
,Locals in Indoreâ€™s Tatpatti Bakhal area pelt stones at health workers,Genuine
,"Why? Anyone who is sick, with mild symptoms such as muscle aches, slight cough, sore throat or fatigue, should isolate at home and use a medical mask according to WHOâ€™s recommendation on home care of patients with suspected COVID-19. Coughing, sneezing or talking can generate droplets that cause can spread the infection. These droplets can reach the face of others nearby and land on the surrounding environment. If an infected person coughs, sneezes, or talks while wearing a medical mask, this can help to protect those nearby from infection.
If a sick person needs to go to a health facility they should wear a medical mask. 
",Genuine
,"The incident is from February 5, 2020, when one farmer was beaten to death and five others were injured by a mob after rumours of a gang of child lifters being active in the area were spread by people who owed money to the victims.",Genuine
,"What to switch off, what stays on: All you need to know about PM Modiâ€™s â€˜lights offâ€™ call",Genuine
,"Covid-19 outbreak: US, UK set to evacuate their nationals from India",Genuine
,UP CM Yogi Adityanath not to attend father's last rites amid COVID-19 lockdown challenges,Genuine
,India switches off lights at 9 pm to ‘challenge Covid-19 darkness’,Genuine
, Indian cricketer Sachin Tendulkar asked for meat shops to be banned in lieu of COVID-19.,Fake
,Popular Cardiologist Devi Shetty talking about symptoms of COVID-19.,Fake
,‘Lighting candles okay as there is nothing to do at home’: Raj Thackeray,Genuine
,Two terrorists reportedly killed in encounter with security forces in J&K's Kulgam,Genuine
,JKAP welcomes changes to domicile rule,Genuine
,he men of India's railway minister demanding money from helpless labourers for walking on the tracks. Be ashamed. Labourer = Helpless,Fake
,India sending hydroxychloroquine to 55 coronavirus-hit countries,Genuine
,Dominic Raab: A combative lawyer who is now Boris Johnson’s stand-in as UK Premier,Genuine
,TV viewership soars to record levels amid virus lockdown,Genuine
, Home Ministry of India have issued an order that sharing of any news related to Coronavirus is an punishable offense under the IT Act.,Fake
, Chinese President Xi Jinping visited Muslims to understand why Muslims are not contracting COVID-19.,Fake
,"Delhi Police asks religious leaders to follow Covid-19 lockdown, not to congregate on Shab-e-Barat",Genuine
,A Chinese SWAT Team takes down a coronavirus suspect,Fake
